subject;age;gender;edu;hand;lens;cap;speed;mem;DDEdl;DDFdl;RPm;TG;S1Mean;S2Mean;S3Mean;S4Mean;S1_logm;S2_logm;S3_logm;S4_logm;SI
296;19;2;Anderes;1;yes;-0.44;-0.96;-0.45;14.975;8.2;66.8;0.2;23.4522008;48.80116042;64.41614511;55.57695864;1.370183604;1.688430149;1.808994732;1.744894777;0.374711173
297;26;1;Bachelor;1;yes;0.78;0.34;0.61;7.3;7.5;42.8;0.545454545;14.38040161;15.21731841;20.04617968;22.05325895;1.157771015;1.182338128;1.302031619;1.343472777;0.185701762
298;26;1;Anderes;1;yes;0.25;0.34;0.03;11.8;4.65;44;0.393939394;22.66411638;20.89577725;30.73815684;31.01882315;1.355338792;1.32005853;1.487677822;1.491625317;0.136286525
299;24;2;Matura;1;yes;0.22;-1.15;0.22;23.8;6.525;105.775;0.224489796;23.44835253;27.90526796;35.96777045;51.89247932;1.370112335;1.445686197;1.555913518;1.715104421;0.344992086
301;19;2;Bachelor;2;no;0.63;0.71;-0.39;19.2;7.525;53.2;0.481481481;12.84796754;13.28174494;18.89884798;22.27156023;1.108834431;1.123255136;1.276435332;1.347750643;0.238916212
302;20;2;Anderes;1;no;-0.16;0.41;-0.97;15.4;4.625;53.6;0.333333333;15.33018982;15.68302967;19.6288019;21.48257351;1.185547532;1.195429964;1.292893792;1.332086306;0.146538774
303;23;1;Anderes;1;no;-0.48;-2.3;-0.67;11.6;7.4;29.6;0.276595745;24.49745888;32.35404548;30.32883457;48.68232729;1.389121037;1.509928592;1.481855722;1.687371332;0.298250295
304;20;1;Matura;1;no;0.61;-1.03;-0.16;5.925;7.875;50;0.333333333;7.074952028;7.381126767;6.492414793;8.359450512;0.849723499;0.868122664;0.812406259;0.922177731;0.072454232
305;20;2;Matura;1;no;0.12;0.29;-0.41;45.45;8.65;68;0.3;14.25016557;24.11670638;45.20062477;47.58131467;1.15381991;1.382317996;1.655144438;1.677436437;0.523616527
306;20;2;Matura;1;no;-0.09;-1.03;-0.1;25.6;10.4;77.2;0.282051282;18.16891629;18.89853626;24.74322543;34.2151755;1.259329024;1.276428168;1.393456312;1.534218772;0.274889748
307;18;2;Berufslehre;1;no;-1.1;-0.54;-0.61;12.025;11;42.4;0.302325581;13.92019156;10.80567505;21.3388924;21.2494204;1.143645212;1.033651903;1.329171874;1.327347089;0.183701877
309;24;1;Anderes;1;no;0.11;1.21;0.47;11.5;5.475;50.8;0.317073171;10.61595692;17.80162881;31.00877113;32.52086336;1.025959147;1.250459741;1.491484556;1.512162067;0.486202919
310;18;1;Matura;1;no;1.01;0.17;0.52;21.2;7.525;65.2;0.419354839;19.22864113;17.56148654;24.76013958;18.56345913;1.283948594;1.244561275;1.393753089;1.268658906;-0.015289688
311;18;1;Matura;1;no;0.66;0.21;0.63;10.5;4.375;50.4;0.4375;15.25267594;16.84691826;19.84631485;23.32904468;1.183346043;1.226520469;1.297679877;1.367896955;0.184550912
